cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200710.html'>0200710</a>,EPC N° 11 FRAY LUIS BELTRAN - JIN A (EPCJC 11/15°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200710.html'>CAPDEVILA 3156</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200711.html'>0200711</a>,EPC N° 12 ESPAÑA - JIN C (EPCJC 12/15°) [S] - PI VALDENEGRO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200711.html'>VALDENEGRO 3525</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200712.html'>0200712</a>,EPC N° 13 DR. IGNACIO LUCAS ALBARRACIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200712.html'>MARIANO ACHA 4452</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200713.html'>0200713</a>,EPC N° 14 DR. VICENTE CARMELO GALLO - JIN C (EPCJC 14/15°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200713.html'>DEHEZA 4728</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200714.html'>0200714</a>,JII N° 02/15° JUAN M. COGHLAN - EPC N° 15 MANUEL ANTONIO ACEVEDO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200714.html'>TRONADOR 2861</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200715.html'>0200715</a>,EPA N° 16 EJERCITO DE LOS ANDES - EPC N° 16 EJERCITO DE LOS ANDES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200715.html'>AVDA. TRIUNVIRATO 4247</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200716.html'>0200716</a>,EPC N° 17 GAUCHOS DE GÜEMES - JIN A (EPCJS 17/15°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200716.html'>JOSE PASCUAL TAMBORINI 5324</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200717.html'>0200717</a>,EPC N° 18 JUAN B. TERAN - JIN C (EPCJS 18/15°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200717.html'>ARIAS 4763</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200718.html'>0200718</a>,EPC N° 19 NACIONES UNIDAS - JIC N° 01/15° - CAIYJ CLUB SAAVEDRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200718.html'>ROGELIO YRURTIA 5806</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200719.html'>0200719</a>,EPC N° 21 LIC. JUSTO JOSE NUÑEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200719.html'>MARIANO ACHA 2250</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200720.html'>0200720</a>,EPC N° 22 FELIX DE AZARA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200720.html'>JOSE PASCUAL TAMBORINI 3948</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200721.html'>0200721</a>,ESCUELA DOMICILIARIA Nº 01 DE 15 - Supervisión Escuela Especial B - Supervisión Escuela Especial C - Delegación Administrativa de Educación Especial Escalafón A y B - Delegación Distrito Administrativo N 15 - Delegación Distrito Administrativo VII (media) - Supervisión Escuela Especial A,<a href='https://jpcib.github.io/sistemaBochi/pages/0200721.html'>DR. PEDRO RIVERA 4151</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200722.html'>0200722</a>,Sup Primaria DE15 - EPC N° 26 JOSE MARMOL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200722.html'>CARBAJAL 4019</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200723.html'>0200723</a>,EPC N° 27 PETRONILA RODRIGUEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200723.html'>ANDONAEGUI 1532</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200724.html'>0200724</a>,BACHILLERATO A DISTANCIA ADULTOS 2000,<a href='https://jpcib.github.io/sistemaBochi/pages/0200724.html'>BALLIVIAN 2329</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200726.html'>0200726</a>,COLEGIO N° 16 GUILLERMO RAWSON - COLEGIO N° 12 RECONQUISTA - LICEO N° 11 CORNELIO SAAVEDRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200726.html'>AVDA. TRIUNVIRATO 4992</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200727.html'>0200727</a>,ESC. DE COM. N° 28 ABRAHAM LINCOLN - ESC. DE COM. N° 15 DRA. CECILIA GRIERSON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200727.html'>VALDENEGRO 3523</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200728.html'>0200728</a>,EEM N° 05/15° - EEM N° 05/15°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200728.html'>TRONADOR 4136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200729.html'>0200729</a>,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON PLURIDISCAPACIDAD MOTORA N° 11 DR. AQUILES GAREISO",<a href='https://jpcib.github.io/sistemaBochi/pages/0200729.html'>QUESADA 4357</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200730.html'>0200730</a>,JII N° 04/15°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200730.html'>BLANCO ENCALADA 4863</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200736.html'>0200736</a>,JM N° 06/13,<a href='https://jpcib.github.io/sistemaBochi/pages/0200736.html'>ZELADA 6240</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200737.html'>0200737</a>,EPC Nº 21 Lic. J.J.Núñez [A: Polidep.],<a href='https://jpcib.github.io/sistemaBochi/pages/0200737.html'>DONADO 2057</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200738.html'>0200738</a>,EPC Nº 08 Jorge A. Boero [A: Polidep.],<a href='https://jpcib.github.io/sistemaBochi/pages/0200738.html'>DONADO 2083</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200740.html'>0200740</a>,Sup Primaria DE16 - EPC N° 01 DR. DELFIN GALLO - EPA N° 01 DR. DELFIN GALLO - JIC N° 03/16° MAFALDA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200740.html'>FERNANDEZ DE ENCISO 4451</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200741.html'>0200741</a>,JIN B (EPCJC 02/16°) JUANA AZURDUY [S] - EPC N° 02 REPUBLICA DE PANAMA - CECIE N° 16,<a href='https://jpcib.github.io/sistemaBochi/pages/0200741.html'>AVDA. SAN MARTIN 6387</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200742.html'>0200742</a>,EPC N° 03 GRECIA - JII N° 02/16° AIME PAINE - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 03,<a href='https://jpcib.github.io/sistemaBochi/pages/0200742.html'>CONDARCO 3984</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200743.html'>0200743</a>,EPC N° 04 CNEL. MAYOR I. ALVAREZ THOMAS - JIN B (EPCJC 04/16°) JUANA AZURDUY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200743.html'>TERRADA 3983</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200744.html'>0200744</a>,EPC N° 05 GABRIELA MISTRAL - EPA N° 05 GABRIELA MISTRAL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200744.html'>JOSE LEON CABEZON 3446</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200745.html'>0200745</a>,EPC N° 06 LUIS PASTEUR - JIN C (EPCJC 06/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200745.html'>NAHUEL HUAPI 5740</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200746.html'>0200746</a>,EPC N° 07 GRAL. MAXIMO DE ZAMUDIO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200746.html'>JOSE CUBAS 4440</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200747.html'>0200747</a>,EPC N° 08 SAN JUAN BOSCO - JIN A (EPCJS 08/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200747.html'>MERCEDES 4966</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200748.html'>0200748</a>,EPC N° 09 IRLANDA - JIN C (EPCJC 09/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200748.html'>IBERA 5734</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200749.html'>0200749</a>,EPC N° 11 CONGRESO DE TUCUMAN - JIN B (EPCJC 11/16°) JUANA AZURDUY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200749.html'>PEDRO MORAN 2899</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200750.html'>0200750</a>,EPC N° 12 CARDENAL PACELLI - JIN D (EPCJS 12/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200750.html'>AVDA. CRISOLOGO LARRALDE 5934</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200751.html'>0200751</a>,EPC N° 13 HILARION MARIA MORENO - JIN D (EPCJS 13/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200751.html'>GRAL. JOSE GERVASIO DE ARTIGAS 5645</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200752.html'>0200752</a>,EPC N° 14 LEOPOLDO LUGONES - JIC N° 04/16° DR. FLORENCIO ESCARDO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200752.html'>CERETTI 2035</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200753.html'>0200753</a>,EPC N° 15 REP. BOLIVARIANA DE VENEZUELA - JIN A (EPCJS 15/16°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200753.html'>OBISPO SAN ALBERTO 3370</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200754.html'>0200754</a>,JIN B (EPCJC 16/16°) JUANA AZURDUY - EPC N° 16 RICARDO ROJAS - CENS N° 87,<a href='https://jpcib.github.io/sistemaBochi/pages/0200754.html'>GABRIELA MISTRAL 3376</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200755.html'>0200755</a>,EPC N°17 GREGORIA MATORRAS DE SAN MARTIN - JIN C (EPCJS 17/16°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200755.html'>VALLEJOS 2555</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200756.html'>0200756</a>,EPC N° 18 HELENA LARROQUE DE ROFFO - JIN D (EPCJC 18/16°) - CENS N° 83,<a href='https://jpcib.github.io/sistemaBochi/pages/0200756.html'>MEDEYROS 3555</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200757.html'>0200757</a>,EPC N° 19 DR. T. SANCHEZ DE BUSTAMANTE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200757.html'>GAVILAN 4246</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200758.html'>0200758</a>,EPC N° 22 REPUBLICA DE NICARAGUA - JIN D (EPCJS 22/16°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200758.html'>BAZURCO 2551</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200759.html'>0200759</a>,EPC N° 23 BELISARIO ROLDAN - JIN A (EPCJC 23/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200759.html'>FRANCO 2390</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200760.html'>0200760</a>,EPC N° 24 EJERCITO ARGENTINO - JIN A (EPCJS 24/16°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200760.html'>AVDA. NAZCA 5168</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200761.html'>0200761</a>,JII N° 01/16° PROF. LUIS SIXTO CLARA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200761.html'>CUENCA 5049</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200762.html'>0200762</a>,EEM N° 01/16° RODOLFO WALSH,<a href='https://jpcib.github.io/sistemaBochi/pages/0200762.html'>ARGERICH 5651</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200763.html'>0200763</a>,EEEYFL N° 21 ROSARIO VERA PEÑALOZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200763.html'>OBISPO SAN ALBERTO 2379</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200764.html'>0200764</a>,"CENS Nº 66 - ESC. BILINGÜE PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD AUDITIVA Y FORMACIÓN INTEGRAL N° 28  B. AYROLO - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 15",<a href='https://jpcib.github.io/sistemaBochi/pages/0200764.html'>AVDA. LINCOLN 4325</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200765.html'>0200765</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 16 GRAL. ING. MOSCONI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200765.html'>AVDA. GRAL. MOSCONI 2641</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200766.html'>0200766</a>,Sup Inicial VIII A - EEM N° 02/16°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200766.html'>JOSE CUBAS 2410</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200768.html'>0200768</a>,EPC N° 01 DR. ANTONIO DELLEPIANE - JINA(EPCJC 01/17°)ALICIA MOREAU DE JUSTO - ESC. DE MUSICA N° 03,<a href='https://jpcib.github.io/sistemaBochi/pages/0200768.html'>BAIGORRIA 3169</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200769.html'>0200769</a>,EPC N° 02 PROF. JUAN JOSE MILLAN - JIN E (EPCJS 02/17°) JUANA MANSO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200769.html'>HELGUERA 3228</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200770.html'>0200770</a>,EPC N° 03 POLICIA FEDERAL ARGENTINA - JINA(EPCJC 03/17°)ALICIA MOREAU DE JUSTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200770.html'>ARGERICH 2849</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200771.html'>0200771</a>,EPA N° 04 RAFAEL RUIZ DE LOS LLANOS - EPC N° 04 RAFAEL RUIZ DE LOS LLANOS - JIN D (EPCJC 04/17°) VICTORIA OCAMPO [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200771.html'>AVDA. FRANCISCO BEIRO 4548</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200772.html'>0200772</a>,EPC N°05 CAP. JUAN DE SAN MARTIN Y GOMEZ - JIN E (EPCJC 05/17°) JUANA MANSO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200772.html'>NOGOYA 2557</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200773.html'>0200773</a>,JIN C (EPCJS 06/17°) LOLA MORA - EPC N° 06 ESTADO DE ISRAEL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200773.html'>CNEL. PEDRO CALDERON DE LA BARCA 3073</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200774.html'>0200774</a>,EPC N° 07 REPUBLICA DE MEXICO - EPA N° 07 REPUBLICA DE MEXICO - JINA(EPCJC 07/17°)ALICIA MOREAU DE JUSTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200774.html'>JUAN AGUSTIN GARCIA 2755</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200775.html'>0200775</a>,EPC N° 08 ALTE. MANUEL BLANCO ENCALADA - JIN E (EPCJS 08/17° JUANA MANSO),<a href='https://jpcib.github.io/sistemaBochi/pages/0200775.html'>EMILIO LAMARCA 3379</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200776.html'>0200776</a>,EPC N° 09 BENITO JUAREZ - JIN D (EPCJS 09/17°) VICTORIA OCAMPO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200776.html'>BENITO JUAREZ 2702</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200777.html'>0200777</a>,EPC N° 10 JOSE ERNESTO GALLONI - JINA(EPCJS 10/17°)ALICIA M.DE JUSTO) [S] - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 18,<a href='https://jpcib.github.io/sistemaBochi/pages/0200777.html'>HELGUERA 2435</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200779.html'>0200779</a>,JIC N° 01/17° PABLO NERUDA - CENS N° 07 - EPC N° 14 SIMON BOLIVAR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200779.html'>TINOGASTA 5768</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200780.html'>0200780</a>,Sup Media Region VII A Centro Cultural Devoto - EPC N° 15 ANTONIO DEVOTO - JIC N° 02/17° ANTONIO BERNI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200780.html'>AV SALVADOR M. DEL CARRIL 4172</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200781.html'>0200781</a>,EPA N° 16 RDO. PADRE AGUSTIN P. NORES - JIN C (EPCJS 16/17°) LOLA MORA [S] - EPC N° 16 RDO. PADRE AGUSTIN P. NORES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200781.html'>CNEL. RAMON LISTA 5256</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200782.html'>0200782</a>,EPC N° 17 RODOLFO RIVAROLA - JIN E (EPCJC 17/17°) JUANA MANSO [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200782.html'>HELGUERA 3341</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200783.html'>0200783</a>,"EPC N° 18 PROV. DE TIERRA DEL FUEGO, ANTARTIDA E IS. DEL ATLANT. SUR - JINA(EPCJS 18/17°) ALICIA M. DE JUSTO",<a href='https://jpcib.github.io/sistemaBochi/pages/0200783.html'>JULIO S. DANTAS 3260</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200784.html'>0200784</a>,Sup Inicial VIII B - EPC N° 19 BARTOLINA SISA - JII N° 03/17° EL JARDIN DEL BOULEVARD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200784.html'>AVDA. SALVADOR MARIA DEL CARRIL 4957</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200785.html'>0200785</a>,EPC N° 20 PEDRO MEDRANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200785.html'>NUEVA YORK 4713</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200786.html'>0200786</a>,EPC N° 21 ROMPEHIELOS GRAL. SAN MARTIN - JINA(EPCJS 21/17°)ALICIA MOREAU DE JUSTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200786.html'>SANTO TOME 2836</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200787.html'>0200787</a>,EPC N° 22 PROF. PEDRO LUIS COMI - JIN D (EPCJS 22/17°) VICTORIA OCAMPO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200787.html'>TINOGASTA 5046</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200788.html'>0200788</a>,EPC N° 23 ABEL AYERZA - CECIE N° 17,<a href='https://jpcib.github.io/sistemaBochi/pages/0200788.html'>AVDA. SALVADOR MARIA DEL CARRIL 3650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200789.html'>0200789</a>,EPC N° 24 PRES. DR. ROBERTO MARIO ORTIZ - JIN D (EPCJS 24/17°) VICTORIA OCAMPO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200789.html'>BAHIA BLANCA 2535</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200790.html'>0200790</a>,COLEGIO N° 19 LUIS PASTEUR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200790.html'>NAVARRO 4344</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200791.html'>0200791</a>,ESC. DE COM. N° 11 DR. JOSE PERALTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200791.html'>PEDRO LOZANO 4250</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200792.html'>0200792</a>,ESC. TEC. N° 16 ESPAÑA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200792.html'>CONCORDIA 3555</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200793.html'>0200793</a>,ESC. TEC. N° 24 DEFENSA DE BUENOS AIRES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200793.html'>RICARDO GUTIERREZ 3246</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200794.html'>0200794</a>,Sup. Media Region 7 - EEM N° 03/17° ANTONIO DEVOTO - CENS N° 65 - CAIYJ CLUB DEVOTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200794.html'>MERCEDES 4002</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200795.html'>0200795</a>,ESPACIO DE PRIMERA INFANCIA EEM Nº2 DE 17 - EEM N° 02/17° RUMANIA - CBFO N° 02 SALVADOR MAZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200795.html'>MANUEL PORCEL DE PERALTA 1437</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200796.html'>0200796</a>,INST. DE ENSEÑANZA SUPERIOR EN LENGUAS VIVAS JUAN B. JUSTO (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200796.html'>LASCANO 3840</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200797.html'>0200797</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 02 DOMINGO F SARMIENTO",<a href='https://jpcib.github.io/sistemaBochi/pages/0200797.html'>PEDRO LOZANO 3056</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200798.html'>0200798</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 03 N MIR DE TOBAR GARCÍA",<a href='https://jpcib.github.io/sistemaBochi/pages/0200798.html'>AVDA. FRANCISCO BEIRO 4418</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200801.html'>0200801</a>,Sup.Educ.Prim.Zona D Región VIII - DE 17 - Biblioteca Antonio Devoto A Sup Primaria DE 17,<a href='https://jpcib.github.io/sistemaBochi/pages/0200801.html'>BAHIA BLANCA 4025</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200805.html'>0200805</a>,EPC N° 01 MARTIN FIERRO - JIN E (EPCJS 01/18°) (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200805.html'>MARTIN FIERRO 5351</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200806.html'>0200806</a>,JIC N° 01/18° REPUBLICA ARGENTINA - EPC N° 02 ALEJANDRO AGUADO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200806.html'>AVDA. ALVAREZ JONTE 5081</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200807.html'>0200807</a>,EPC N° 03 MONTE CASTRO - JINA(EPCJS03/18°)[S]LA CALESITA DON JOSE - EPA N° 03 MONTE CASTRO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200807.html'>AVDA. ALVAREZ JONTE 4651</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200808.html'>0200808</a>,EPC N° 04 CASIMIRO AURELIANO MACIEL - JINA(EPCJS 04/18°)LA CALESITA DON JOSE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200808.html'>MARCOS PAZ 1732</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200809.html'>0200809</a>,JIN D (EPCJS 07/18°) - EPA N° 07 REPUBLICA ARABE DE EGIPTO - EPC N° 07 REPUBLICA ARABE DE EGIPTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200809.html'>AVDA. RIVADAVIA 9799</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200810.html'>0200810</a>,EPC N° 08 BASE AEREA VICEC.MARAMBIO - JIN D (EPCJC 08/18°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200810.html'>YERBAL 4965</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200811.html'>0200811</a>,JIC N° 04/18° - IFTS N° 16 SEDE - EPC N° 09 PROVINCIA DE MISIONES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200811.html'>LASCANO 4044</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200812.html'>0200812</a>,JIN D (EPCJC 10/18°) - EPC N° 10 ADA MARIA ELFLEIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200812.html'>DR. LUIS BELAUSTEGUI 4949</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200813.html'>0200813</a>,EPA N° 11 REPUBLICA DEL PERU - EPC N° 11 REPUBLICA DEL PERU - JIN C (EPCJC 11/18°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200813.html'>AV GAONA 4763</a>
